Timestamp,Raw,Filtered
1788706544600,-0.051991,-0.051991
1788706544620,0.369057,0.158533
1788706544646,0.649147,0.322071
1788706544667,0.730177,0.424098
1788706544689,0.745192,0.488316
1788706544709,1.008579,0.700430
1788706544731,0.463129,0.719245
1788706544753,1.201741,0.829764
1788706544778,1.032916,0.890311
1788706544798,0.522347,0.845742
1788706544818,1.102182,0.864463
1788706544841,0.586295,0.889096
1788706544862,0.940923,0.836933
1788706544882,0.994843,0.829318
1788706544905,0.766027,0.878054
1788706544926,1.144938,0.886605
1788706544954,1.067284,0.982803
1788706544976,0.527706,0.900160
1788706544997,0.275408,0.756273
1788706545019,0.462613,0.695590
1788706545042,0.736931,0.613988
1788706545063,0.371796,0.474891
1788706545094,0.281261,0.425602
1788706545115,-0.130124,0.344495
1788706545136,0.088503,0.269673
1788706545157,0.489926,0.220272
1788706545180,0.235994,0.193112
1788706545201,-0.188949,0.099070
1788706545226,-0.568118,0.011471
1788706545251,-0.305899,-0.067409
1788706545272,-0.357839,-0.236962
1788706545294,-1.149801,-0.514121
1788706545314,-1.047427,-0.685817
1788706545335,-0.866933,-0.745580
1788706545357,-0.891210,-0.862642
1788706545377,-1.103197,-1.011714
1788706545397,-1.004752,-0.982704
1788706545419,-1.305496,-1.034318
1788706545439,-1.307450,-1.122421
1788706545459,-1.270883,-1.198356
1788706545481,-0.852596,-1.148235
1788706545501,-0.827663,-1.112818
1788706545521,-0.830198,-1.017758
1788706545542,-0.903664,-0.937001
1788706545563,-0.298724,-0.742569
1788706545583,-0.412400,-0.654530
1788706545604,-0.936749,-0.676347
1788706545627,-0.611238,-0.632555
1788706545648,-0.612739,-0.574370
1788706545668,0.323526,-0.449920
1788706545690,-0.077652,-0.382970
1788706545710,-0.039928,-0.203606
1788706545732,0.126251,-0.056108
1788706545754,0.779782,0.222396
1788706545775,0.635786,0.284848
1788706545795,0.546622,0.409703
1788706545815,0.615354,0.540759
1788706545837,1.130860,0.741681
1788706545858,0.772215,0.740167
1788706545880,1.340833,0.881177
1788706545901,0.792666,0.930386
1788706545923,1.265756,1.060466
1788706545943,1.438425,1.121979
1788706545966,1.084003,1.184337
1788706545989,1.319119,1.179994
1788706546011,0.825094,1.186479
1788706546040,1.124028,1.158134
1788706546061,0.788836,1.028216
1788706546083,0.993246,1.010065
1788706546104,0.542493,0.854739
1788706546125,1.025739,0.894868
1788706546146,0.922537,0.854570
1788706546167,0.794906,0.855784
1788706546187,0.021360,0.661407
1788706546208,0.596957,0.672300
1788706546228,0.187242,0.504600
